trial,condition,receiver,window_index,window_start_s,frame_count,valid_temporal_pairs,temporal_pair_retention,sequence_gap_count,largest_sequence_gap,usable,spectral_velocity_mean,spectral_velocity_p95,temporal_spread,baseline_distance,rssi_mean,rssi_std,rssi_shift
empty_01,empty,RX02,11,11.0,49,47,0.9791666666666666,1,2,True,0.12631008959074663,0.39645989463231657,0.21688845188564876,0.004249549320438197,-53.755102040816325,0.5162902302315722,0.24489795918367463
empty_01,empty,RX02,12,12.0,49,47,0.9791666666666666,1,2,True,0.1782751184640228,0.3949043670117963,0.26347056168084715,0.005844799828751471,-53.775510204081634,0.4172458836787933,0.22448979591836604
empty_01,empty,RX02,13,13.0,50,49,1.0,0,1,True,0.11578585872467843,0.38955163253276714,0.19224526565789402,0.004102998078121315,-53.84,0.36660605559646725,0.1599999999999966
empty_01,empty,RX02,14,14.0,50,49,1.0,0,1,True,0.11746441519472568,0.3977901053662954,0.195087201155465,0.005556884832904712,-53.78,0.41424630354415964,0.21999999999999886
empty_01,empty,RX02,15,15.0,49,47,0.9791666666666666,1,2,True,0.10190265117550748,0.37547901729214983,0.173069285246361,0.004511341579753084,-53.816326530612244,0.3872176726736791,0.18367346938775597
empty_01,empty,RX02,16,16.0,50,49,1.0,0,1,True,0.11450924485786171,0.37862340804240213,0.19410491895967097,0.004146304358485512,-53.8,0.4,0.20000000000000284
empty_01,empty,RX02,17,17.0,50,49,1.0,0,1,True,0.10205807456282033,0.3920488867168905,0.17980202451391797,0.0034718652852301674,-53.7,0.458257569495584,0.29999999999999716
empty_01,empty,RX02,18,18.0,50,49,1.0,0,1,True,0.11606619950034461,0.38751901530196975,0.19515360268455606,0.005435819367484027,-53.68,0.466476151587624,0.3200000000000003
empty_01,empty,RX02,19,19.0,49,48,1.0,0,1,True,0.08527322080291407,0.3753995651361354,0.14858108619771387,0.006496663263822178,-53.63265306122449,0.482082114735417,0.36734693877551194
empty_01,empty,RX02,20,20.0,50,49,1.0,0,1,True,0.07507986480040355,0.36236077206324785,0.12607836738213513,0.005098615223351049,-53.8,0.4,0.20000000000000284
empty_01,empty,RX02,21,21.0,50,49,1.0,0,1,True,0.1254668696033869,0.3734175362788006,0.20500260295641304,0.005009118874836489,-53.68,0.466476151587624,0.3200000000000003
empty_01,empty,RX02,22,22.0,49,48,1.0,0,1,True,0.1692640342505312,0.395923105667372,0.25998078665850793,0.003420665563850519,-53.795918367346935,0.40302893179860205,0.20408163265306456
empty_01,empty,RX02,23,23.0,50,49,1.0,0,1,True,0.1482787543423386,0.3909469926213866,0.23314577895559663,0.007771045306114784,-53.7,0.458257569495584,0.29999999999999716
empty_01,empty,RX02,24,24.0,50,49,1.0,0,1,True,0.08968299959645178,0.3736664691706094,0.14630408088207858,0.005123962144663644,-53.64,0.52,0.35999999999999943
empty_01,empty,RX02,25,25.0,50,49,1.0,0,1,True,0.10126242175875172,0.4017910792260801,0.1813760312811063,0.003724730266142545,-53.72,0.448998886412873,0.28000000000000114
empty_01,empty,RX02,26,26.0,50,49,1.0,0,1,True,0.21182333935111453,0.42098153556657486,0.28480282423620507,0.008273332512533947,-53.86,0.34698703145794946,0.14000000000000057
empty_01,empty,RX02,27,27.0,49,47,0.9791666666666666,1,2,True,0.1608865119315582,0.3973693586881778,0.2603170231506701,0.006143510664068757,-53.83673469387755,0.42121974368469983,0.16326530612244738
empty_01,empty,RX02,28,28.0,49,47,0.9791666666666666,1,2,True,0.13967729927024447,0.4013616426079604,0.25073912061721737,0.004525156277879223,-53.795918367346935,0.4508310619260107,0.20408163265306456
empty_01,empty,RX02,29,29.0,48,45,0.9574468085106383,2,2,True,0.16620025842303177,0.40478285774402145,0.2403093628127037,0.00466122888782623,-53.708333333333336,0.49826086429589156,0.2916666666666643
empty_01,empty,RX02,30,30.0,50,49,1.0,0,1,True,0.10785257451694825,0.38947914950558465,0.26941469942072094,0.006915217087416258,-53.76,0.4270831300812525,0.240000000000002
empty_01,empty,RX02,31,31.0,50,49,1.0,0,1,True,0.17170434844307075,0.41900081881295903,0.2440943935398825,0.005065381159113156,-53.72,0.448998886412873,0.28000000000000114
empty_01,empty,RX02,32,32.0,49,47,0.9791666666666666,1,2,True,0.0672362829397811,0.15202684908911218,0.09720143114638377,0.00406466306036179,-53.6530612244898,0.4759960730485959,0.34693877551020336
empty_01,empty,RX02,33,33.0,50,49,1.0,0,1,True,0.08878631000437172,0.3866511304486494,0.15292992999050672,0.004752762064432189,-53.68,0.466476151587624,0.3200000000000003
empty_01,empty,RX02,34,34.0,50,49,1.0,0,1,True,0.09204183525216607,0.3957198765988044,0.1583773225184778,0.005652327024002672,-53.62,0.48538644398046393,0.38000000000000256
empty_01,empty,RX02,35,35.0,50,49,1.0,0,1,True,0.11412407403749707,0.37814709078713776,0.18929513598661415,0.004965535597261069,-53.68,0.466476151587624,0.3200000000000003
empty_01,empty,RX02,36,36.0,49,47,0.9791666666666666,1,2,True,0.08119631713779135,0.3660509930219173,0.16002628481450254,0.0051078255722134995,-53.6530612244898,0.4759960730485959,0.34693877551020336
empty_01,empty,RX02,37,37.0,48,45,0.9574468085106383,2,2,True,0.0956711511442263,0.37196481642398715,0.15561786130890365,0.0038844876879751875,-53.729166666666664,0.4443901876604488,0.2708333333333357
empty_01,empty,RX02,38,38.0,50,49,1.0,0,1,True,0.15476789835204532,0.41292699244127207,0.2292386153194626,0.0038548558284960126,-53.66,0.5141984052872977,0.3400000000000034
empty_01,empty,RX02,39,39.0,50,49,1.0,0,1,True,0.17293439544213055,0.39885682152164975,0.25419326686108595,0.006287964906838442,-53.74,0.4386342439892262,0.259999999999998
empty_01,empty,RX02,40,40.0,49,47,0.9791666666666666,1,2,True,0.19533401426837446,0.5129718903549363,0.26614537967010043,0.01010318556980455,-53.857142857142854,1.178030178747903,0.1428571428571459
empty_01,empty,RX02,41,41.0,49,47,0.9791666666666666,1,2,True,0.11918868957013076,0.40091965919333716,0.19663459555342735,0.003812869045483573,-53.6530612244898,0.475996073048596,0.34693877551020336
empty_01,empty,RX02,42,42.0,50,49,1.0,0,1,True,0.0860195921480982,0.3679471045693256,0.13670184629823867,0.004320729938547222,-53.62,0.48538644398046393,0.38000000000000256
empty_01,empty,RX02,43,43.0,50,49,1.0,0,1,True,0.07287197498647825,0.3670335497101084,0.13101043362206033,0.0041101291050514,-53.74,0.4386342439892262,0.259999999999998
empty_01,empty,RX02,44,44.0,50,49,1.0,0,1,True,0.11122579385435505,0.3888617867764988,0.21094955333426077,0.006329521226548213,-53.74,0.4386342439892262,0.259999999999998
empty_01,empty,RX02,45,45.0,49,47,0.9791666666666666,1,2,True,0.11655799095766833,0.3907181525068452,0.24107829553918347,0.008685899954159597,-53.816326530612244,0.3872176726736791,0.18367346938775597
empty_01,empty,RX02,46,46.0,49,47,0.9791666666666666,1,2,True,0.12066191287601984,0.3926224243474042,0.2350170167700007,0.006177657590661727,-53.714285714285715,0.45175395145262565,0.2857142857142847
empty_01,empty,RX02,47,47.0,50,49,1.0,0,1,True,0.12316061556809754,0.38193029157772335,0.19638086524767767,0.004106401818062276,-53.64,0.48,0.35999999999999943
empty_01,empty,RX02,48,48.0,50,49,1.0,0,1,True,0.10321554227705412,0.3954503114196379,0.19631635177871093,0.0052640528907260216,-53.72,0.448998886412873,0.28000000000000114
empty_01,empty,RX02,49,49.0,50,49,1.0,0,1,True,0.08092865965089906,0.370514934861385,0.1594900345327312,0.005558704337072845,-53.72,0.448998886412873,0.28000000000000114
walk_01,walk_cross_link,RX01,10,10.0,50,49,1.0,0,1,True,0.09667127689306944,0.362885418410728,0.1718092573923126,0.006838918664494777,-49.76,0.4270831300812525,0.240000000000002
walk_01,walk_cross_link,RX01,11,11.0,50,49,1.0,0,1,True,0.12471048701505219,0.3739657120774611,0.20779859359804143,0.007780240833060923,-49.92,0.33704599092705434,0.0799999999999983
walk_01,walk_cross_link,RX01,12,12.0,49,48,1.0,0,1,True,0.0922438387763662,0.36452863265430946,0.17144099575295954,0.010172192621579042,-50.142857142857146,1.1952286093343936,0.1428571428571459
walk_01,walk_cross_link,RX01,13,13.0,50,49,1.0,0,1,True,0.1029670172363505,0.40388467416266716,0.1897404472156897,0.07183889913651856,-54.78,1.5784802817900514,4.780000000000001
walk_01,walk_cross_link,RX01,14,14.0,49,47,0.9791666666666666,1,2,True,0.08050265217044988,0.3558257149883673,0.1571118228724222,0.01626213957247088,-51.16326530612245,1.360476188775425,1.1632653061224474
walk_01,walk_cross_link,RX01,15,15.0,49,47,0.9791666666666666,1,2,True,0.06718120116843386,0.2653681773675126,0.12718050794056251,0.00968334114809052,-49.69387755102041,0.46088121594433534,0.3061224489795933
walk_01,walk_cross_link,RX01,16,16.0,50,49,1.0,0,1,True,0.059365332626076225,0.08534351995047715,0.0915532324106274,0.013750336021147808,-49.44,0.4963869458396343,0.5600000000000023
walk_01,walk_cross_link,RX01,17,17.0,50,49,1.0,0,1,True,0.11613165683758002,0.3884049239071759,0.20472947240319034,0.007713300500595097,-49.62,0.48538644398046393,0.38000000000000256
walk_01,walk_cross_link,RX01,18,18.0,50,49,1.0,0,1,True,0.13628587368483855,0.3834451266328035,0.22833259777658438,0.008043392438416393,-49.68,0.466476151587624,0.3200000000000003
walk_01,walk_cross_link,RX01,19,19.0,50,49,1.0,0,1,True,0.057188676743306154,0.10682181806464633,0.09277362963509239,0.008696223572671429,-49.7,0.458257569495584,0.29999999999999716
walk_01,walk_cross_link,RX01,20,20.0,50,49,1.0,0,1,True,0.07185986983882305,0.3515931744314909,0.12406227300831818,0.009149534067368261,-49.52,0.5381449618829485,0.4799999999999969
walk_01,walk_cross_link,RX01,21,21.0,49,47,0.9791666666666666,1,2,True,0.08966473777452505,0.3970158987246293,0.1591044939204825,0.009044082243970882,-49.673469387755105,0.46894388951330845,0.32653061224489477
walk_01,walk_cross_link,RX01,22,22.0,50,49,1.0,0,1,True,0.13454926262876718,0.3768766671950595,0.21981417746207374,0.006740904438895474,-50.04,1.535708305636197,0.03999999999999915
walk_01,walk_cross_link,RX01,23,23.0,50,49,1.0,0,1,True,0.07892028367868004,0.3411272316679716,0.1301690982189247,0.022993525024333158,-53.7,0.7280109889280518,3.700000000000003
walk_01,walk_cross_link,RX01,24,24.0,49,47,0.9791666666666666,1,2,True,0.07585388141709921,0.32455841770835964,0.12383137017658427,0.008937069843913605,-50.30612244897959,0.7341267652491816,0.3061224489795933
walk_01,walk_cross_link,RX01,25,25.0,49,47,0.9791666666666666,1,2,True,0.10597920125654017,0.36463573290344303,0.17765350800385316,0.010503704593752777,-50.0,0.4948716593053935,0.0
walk_01,walk_cross_link,RX01,26,26.0,50,49,1.0,0,1,True,0.07495024557174704,0.35927845839804,0.15130924859857636,0.008762326725348758,-49.64,0.48,0.35999999999999943
walk_01,walk_cross_link,RX01,27,27.0,48,45,0.9574468085106383,2,2,True,0.08400028724997809,0.3809642324749877,0.1568758742768147,0.010670937522268137,-49.541666666666664,0.4982608642958916,0.4583333333333357
walk_01,walk_cross_link,RX01,28,28.0,50,49,1.0,0,1,True,0.09421410722676059,0.3646692682222346,0.17385450031459188,0.008782236085113061,-49.68,0.466476151587624,0.3200000000000003
