trial,condition,receiver,time_s,sequence_offset,rssi_dbm
empty_01,empty,RX01,17.547948,877,-50
empty_01,empty,RX01,17.564491,878,-50
empty_01,empty,RX01,17.588427,879,-50
empty_01,empty,RX01,17.604361,880,-49
empty_01,empty,RX01,17.625177,881,-49
empty_01,empty,RX01,17.644996,882,-49
empty_01,empty,RX01,17.664818,883,-49
empty_01,empty,RX01,17.684374,884,-50
empty_01,empty,RX01,17.704358,885,-49
empty_01,empty,RX01,17.724615,886,-49
empty_01,empty,RX01,17.74438,887,-50
empty_01,empty,RX01,17.767617,888,-50
empty_01,empty,RX01,17.78744,889,-50
empty_01,empty,RX01,17.80449,890,-50
empty_01,empty,RX01,17.824368,891,-49
empty_01,empty,RX01,17.846334,892,-50
empty_01,empty,RX01,17.870881,893,-49
empty_01,empty,RX01,17.885326,894,-49
empty_01,empty,RX01,17.904382,895,-49
empty_01,empty,RX01,17.924335,896,-49
empty_01,empty,RX01,17.944429,897,-49
empty_01,empty,RX01,17.972845,898,-49
empty_01,empty,RX01,17.986275,899,-49
empty_01,empty,RX01,18.004331,900,-49
empty_01,empty,RX01,18.025585,901,-49
empty_01,empty,RX01,18.046834,902,-49
empty_01,empty,RX01,18.065035,903,-49
empty_01,empty,RX01,18.085876,904,-49
empty_01,empty,RX01,18.106461,905,-49
empty_01,empty,RX01,18.12435,906,-50
empty_01,empty,RX01,18.14435,907,-49
empty_01,empty,RX01,18.165445,908,-50
empty_01,empty,RX01,18.185156,909,-50
empty_01,empty,RX01,18.20654,910,-50
empty_01,empty,RX01,18.224357,911,-49
empty_01,empty,RX01,18.244345,912,-49
empty_01,empty,RX01,18.267855,913,-49
empty_01,empty,RX01,18.284944,914,-49
empty_01,empty,RX01,18.310982,915,-49
empty_01,empty,RX01,18.324355,916,-49
empty_01,empty,RX01,18.344361,917,-49
empty_01,empty,RX01,18.364333,918,-50
empty_01,empty,RX01,18.390068,919,-49
empty_01,empty,RX01,18.407624,920,-49
empty_01,empty,RX01,18.424332,921,-49
empty_01,empty,RX01,18.444313,922,-50
empty_01,empty,RX01,18.464342,923,-49
empty_01,empty,RX01,18.48511,924,-49
empty_01,empty,RX01,18.504768,925,-49
empty_01,empty,RX01,18.524344,926,-49
empty_01,empty,RX01,18.545163,927,-49
empty_01,empty,RX01,18.564713,928,-49
empty_01,empty,RX01,18.585343,929,-49
empty_01,empty,RX01,18.612406,930,-49
empty_01,empty,RX01,18.626252,931,-49
empty_01,empty,RX01,18.645739,932,-49
empty_01,empty,RX01,18.664352,933,-49
empty_01,empty,RX01,18.691817,934,-49
empty_01,empty,RX01,18.70434,935,-49
empty_01,empty,RX01,18.724305,936,-49
empty_01,empty,RX01,18.744929,937,-47
empty_01,empty,RX01,18.769288,938,-49
empty_01,empty,RX01,18.799986,939,-49
empty_01,empty,RX01,18.805041,940,-49
empty_01,empty,RX01,18.82651,941,-49
empty_01,empty,RX01,18.846694,942,-49
empty_01,empty,RX01,18.86603,943,-49
empty_01,empty,RX01,18.892307,944,-49
empty_01,empty,RX01,18.904318,945,-49
empty_01,empty,RX01,18.927509,946,-49
empty_01,empty,RX01,18.94432,947,-49
empty_01,empty,RX01,18.964325,948,-49
empty_01,empty,RX01,18.984332,949,-49
empty_01,empty,RX01,19.004421,950,-49
empty_01,empty,RX01,19.027612,951,-49
empty_01,empty,RX01,19.044295,952,-49
empty_01,empty,RX01,19.065913,953,-49
empty_01,empty,RX01,19.084922,954,-49
empty_01,empty,RX01,19.127785,955,-49
empty_01,empty,RX01,19.131908,956,-49
empty_01,empty,RX01,19.148543,957,-49
empty_01,empty,RX01,19.168864,958,-49
empty_01,empty,RX01,19.192009,959,-49
empty_01,empty,RX01,19.234788,960,-49
empty_01,empty,RX01,19.23546,961,-49
empty_01,empty,RX01,19.283697,962,-49
empty_01,empty,RX01,19.286924,963,-49
empty_01,empty,RX01,19.304769,964,-49
empty_01,empty,RX01,19.329213,965,-49
empty_01,empty,RX01,19.344443,966,-49
empty_01,empty,RX01,19.378049,967,-49
empty_01,empty,RX01,19.386669,968,-49
empty_01,empty,RX01,19.407402,969,-49
empty_01,empty,RX01,19.432826,970,-49
empty_01,empty,RX01,19.44444,971,-49
empty_01,empty,RX01,19.464432,972,-49
empty_01,empty,RX01,19.484415,973,-49
empty_01,empty,RX01,19.506719,974,-49
empty_01,empty,RX01,19.524411,975,-49
empty_01,empty,RX01,19.544415,976,-49
empty_01,empty,RX01,19.564409,977,-49
empty_01,empty,RX01,19.584419,978,-49
empty_01,empty,RX01,19.611692,979,-49
empty_01,empty,RX01,19.625397,980,-49
empty_01,empty,RX01,19.649328,981,-49
empty_01,empty,RX01,19.664433,982,-49
empty_01,empty,RX01,19.685251,983,-50
empty_01,empty,RX01,19.713625,984,-49
empty_01,empty,RX01,19.725288,985,-49
empty_01,empty,RX01,19.744437,986,-50
empty_01,empty,RX01,19.765199,987,-49
empty_01,empty,RX01,19.784533,988,-50
empty_01,empty,RX01,19.8044,989,-49
empty_01,empty,RX01,19.827108,990,-49
empty_01,empty,RX01,19.844517,991,-49
empty_01,empty,RX01,19.864405,992,-49
empty_01,empty,RX01,19.884416,993,-50
empty_01,empty,RX01,19.906473,994,-49
empty_01,empty,RX01,19.925968,995,-49
empty_01,empty,RX01,19.947543,996,-50
empty_01,empty,RX01,19.965674,997,-49
empty_01,empty,RX01,19.984424,998,-50
empty_01,empty,RX01,20.005569,999,-50
empty_01,empty,RX01,20.024421,1000,-50
empty_01,empty,RX01,20.046029,1001,-50
empty_01,empty,RX01,20.064391,1002,-50
empty_01,empty,RX01,20.087677,1003,-50
empty_01,empty,RX01,20.107996,1004,-50
empty_01,empty,RX01,20.130778,1005,-50
empty_01,empty,RX01,20.148417,1006,-50
empty_01,empty,RX01,20.164406,1007,-50
empty_01,empty,RX01,20.185088,1008,-50
empty_01,empty,RX01,20.204409,1009,-50
empty_01,empty,RX01,20.22563,1010,-50
empty_01,empty,RX01,20.24441,1011,-50
empty_01,empty,RX01,20.264546,1012,-49
empty_01,empty,RX01,20.284388,1013,-49
empty_01,empty,RX01,20.306652,1014,-50
empty_01,empty,RX01,20.336117,1015,-50
empty_01,empty,RX01,20.344393,1016,-50
empty_01,empty,RX01,20.364516,1017,-50
empty_01,empty,RX01,20.386567,1018,-50
empty_01,empty,RX01,20.405253,1019,-50
empty_01,empty,RX01,20.428311,1020,-50
empty_01,empty,RX01,20.444761,1021,-50
empty_01,empty,RX01,20.469154,1022,-50
empty_01,empty,RX01,20.488947,1023,-50
empty_01,empty,RX01,20.504583,1024,-50
empty_01,empty,RX01,20.532448,1025,-50
empty_01,empty,RX01,20.546507,1026,-50
empty_01,empty,RX01,20.564393,1027,-50
empty_01,empty,RX01,20.585486,1028,-50
empty_01,empty,RX01,20.606841,1029,-50
empty_01,empty,RX01,20.624492,1030,-50
empty_01,empty,RX01,20.644392,1031,-50
empty_01,empty,RX01,20.671987,1032,-50
empty_01,empty,RX01,20.684383,1033,-50
empty_01,empty,RX01,20.745339,1035,-50
